n,num_step_taken(h_misplaced),num_step_taken(h_manhattan),num_step_taken(h_misplaced-h_manhattan)
4,3,3,0
4,3,3,0
4,0,0,0
4,1,1,0
4,3,3,0
4,3,3,0
4,3,3,0
4,3,3,0
4,5,5,0
4,8,8,0
4,7,7,0
4,8,8,0
4,5,5,0
4,7,7,0
4,3,3,0
4,3,3,0
4,2,2,0
4,11,11,0
4,11,11,0
4,3,3,0
4,3,3,0
4,7,7,0
4,0,0,0
4,9,7,2
4,7,7,0
4,10,10,0
4,8,8,0
4,9,9,0
4,3,3,0
4,7,7,0
4,4,4,0
4,4,4,0
4,9,9,0
4,5,4,1
4,3,3,0
4,4,4,0
4,5,5,0
4,8,8,0
4,28,11,17
4,3,3,0
4,0,0,0
4,8,8,0
4,4,4,0
4,11,11,0
4,5,5,0
4,15,15,0
4,7,7,0
4,18,14,4
4,7,7,0
4,7,7,0
4,34,27,7
4,2,2,0
4,7,7,0
4,20,12,8
4,2,2,0
4,3,3,0
4,8,8,0
4,5,5,0
4,5,5,0
4,8,8,0
4,2,2,0
4,9,7,2
4,8,8,0
4,3,3,0
4,7,7,0
4,2,2,0
4,4,4,0
4,2,2,0
4,7,7,0
4,8,8,0
4,5,5,0
4,7,7,0
4,11,11,0
4,17,12,5
4,5,5,0
4,5,5,0
4,8,8,0
4,11,11,0
4,11,11,0
4,36,17,19
4,11,11,0
4,2,2,0
4,7,7,0
4,11,11,0
4,6,6,0
4,5,5,0
4,11,11,0
4,11,11,0
4,5,5,0
4,15,15,0
4,3,3,0
4,5,5,0
4,11,11,0
4,11,11,0
4,8,8,0
4,29,19,10
4,5,5,0
4,2,2,0
4,15,12,3
4,11,11,0
